,Period,Team,Type,Scorer,Assist1,Assist2,Season Goal Number,Time in Game,Time in Period,Home Team,Date,Game Goal Number,Team Goal Number,Seconds,Winner,HomeGoal,AwayGoal,Impact
79,2,VAN,,Erik Gudbranson , Bo Horvat,Loui Eriksson,1,00:39:26,00:19:26,BOS,2018-11-08,10,6,2366.0,VAN,4.0,6.0,Insurance Goal
80,3,VAN,SH,Bo Horvat ,,,9,00:49:40,00:09:40,BOS,2018-11-08,11,7,2980.0,VAN,4.0,7.0,Insurance Goal
81,3,VAN,,Jake Virtanen , Nikolay Goldobin,Elias Pettersson,6,00:51:12,00:11:12,BOS,2018-11-08,12,8,3072.0,VAN,4.0,8.0,Insurance Goal
82,3,BOS,PP,Danton Heinen , Matt Grzelcyk,David Krejci,1,00:53:38,00:13:38,BOS,2018-11-08,13,5,3218.0,VAN,5.0,8.0,Lead Shrink
83,1,BOS,,Patrice Bergeron , David Pastrnak,,9,00:16:12,00:16:12,BOS,2018-11-10,1,1,972.0,BOS,1.0,0.0,Go-Ahead Goal
84,2,BOS,,David Pastrnak , Patrice Bergeron,Matt Grzelcyk,13,00:25:46,00:05:46,BOS,2018-11-10,2,2,1546.0,BOS,2.0,0.0,Insurance Goal
85,2,BOS,PP,David Pastrnak , Brad Marchand,Patrice Bergeron,14,00:30:34,00:10:34,BOS,2018-11-10,3,3,1834.0,BOS,3.0,0.0,Insurance Goal
86,2,TOR,,John Tavares , Mitch Marner,Morgan Rielly,10,00:39:30,00:19:30,BOS,2018-11-10,4,1,2370.0,BOS,3.0,1.0,Lead Shrink
87,3,BOS,PP,David Pastrnak , Brad Marchand,Torey Krug,15,00:54:04,00:14:04,BOS,2018-11-10,5,4,3244.0,BOS,4.0,1.0,Insurance Goal
88,3,BOS,,Joakim Nordstrom , David Krejci,,3,00:54:30,00:14:30,BOS,2018-11-10,6,5,3270.0,BOS,5.0,1.0,Insurance Goal
89,1,BOS,,Danton Heinen , Anders Bjork,,2,00:02:54,00:02:54,BOS,2018-11-11,1,1,174.0,BOS,1.0,0.0,Go-Ahead Goal
90,1,BOS,,Jeremy Lauzon , Sean Kuraly,John Moore,1,00:17:51,00:17:51,BOS,2018-11-11,2,2,1071.0,BOS,2.0,0.0,Insurance Goal
91,2,BOS,,Brad Marchand , Patrice Bergeron,David Pastrnak,6,00:20:58,00:00:58,BOS,2018-11-11,3,3,1258.0,BOS,3.0,0.0,Insurance Goal
92,2,VEG,,Cody Eakin , Alex Tuch,,5,00:30:55,00:10:55,BOS,2018-11-11,4,1,1855.0,BOS,3.0,1.0,Lead Shrink
93,3,BOS,PP,David Pastrnak , Torey Krug,David Krejci,16,00:56:08,00:16:08,BOS,2018-11-11,5,4,3368.0,BOS,4.0,1.0,Insurance Goal
94,1,COL,,Gabriel Landeskog , Mikko Rantanen,,12,00:10:16,00:10:16,COL,2018-11-14,1,1,616.0,COL,1.0,0.0,Go-Ahead Goal
95,1,BOS,PP,David Pastrnak , David Backes,David Krejci,17,00:16:43,00:16:43,COL,2018-11-14,2,1,1003.0,COL,1.0,1.0,Tie
96,1,BOS,,Jake Debrusk ,,,6,00:19:20,00:19:20,COL,2018-11-14,3,2,1160.0,COL,1.0,2.0,Go-Ahead Goal
97,2,BOS,PP,Jake Debrusk , David Pastrnak,Patrice Bergeron,7,00:23:05,00:03:05,COL,2018-11-14,4,3,1385.0,COL,1.0,3.0,Insurance Goal
98,2,COL,PP,Mikko Rantanen , Nathan MacKinnon,Tyson Barrie,7,00:28:47,00:08:47,COL,2018-11-14,5,2,1727.0,COL,2.0,3.0,Go-Ahead Goal
99,3,COL,,Matt Calvert , Sheldon Dries,,2,00:42:11,00:02:11,COL,2018-11-14,6,3,2531.0,COL,3.0,3.0,Tie
100,3,COL,,Nathan MacKinnon , Mikko Rantanen,Ian Cole,12,00:49:02,00:09:02,COL,2018-11-14,7,4,2942.0,COL,4.0,3.0,Go-Ahead Goal
101,3,COL,PP,Tyson Jost , Samuel Girard,Alexander Kerfoot,3,00:55:39,00:15:39,COL,2018-11-14,8,5,3339.0,COL,5.0,3.0,Insurance Goal
102,3,COL,PP,Alexander Kerfoot , Carl Soderberg,Samuel Girard,4,00:59:45,00:19:45,COL,2018-11-14,9,6,3585.0,COL,6.0,3.0,Insurance Goal
103,OT1,DAL,,Jason Dickinson , Mattias Janmark,,4,01:01:34,00:01:34,DAL,2018-11-16,1,1,3694.0,DAL,1.0,0.0,Go-Ahead Goal
104,1,BOS,,Jakob Forsbacka Karlsson , Noel Acciari,,1,00:01:12,00:01:12,ARI,2018-11-17,1,1,72.0,BOS,0.0,1.0,Go-Ahead Goal
105,1,BOS,,Jake Debrusk , Brad Marchand,,8,00:02:45,00:02:45,ARI,2018-11-17,2,2,165.0,BOS,0.0,2.0,Insurance Goal
106,2,ARI,,Brad Richardson , Vinnie Hinostroza,,6,00:29:10,00:09:10,ARI,2018-11-17,3,1,1750.0,BOS,1.0,2.0,Go-Ahead Goal
107,2,BOS,,Jakob Forsbacka Karlsson ,,,2,00:24:08,00:04:08,DET,2018-11-21,1,1,1448.0,DET,0.0,1.0,Go-Ahead Goal
108,2,DET,,Tyler Bertuzzi , Nick Jensen,Danny DeKeyser,6,00:29:48,00:09:48,DET,2018-11-21,2,1,1788.0,DET,1.0,1.0,Tie
109,3,BOS,,Chris Wagner , Sean Kuraly,,2,00:46:45,00:06:45,DET,2018-11-21,3,2,2805.0,DET,1.0,2.0,Go-Ahead Goal
110,3,DET,,Andreas Athanasiou , Gustav Nyquist,Frans Nielsen,8,00:48:59,00:08:59,DET,2018-11-21,4,2,2939.0,DET,2.0,2.0,Tie
111,OT1,DET,,Andreas Athanasiou , Frans Nielsen,,9,01:00:49,00:00:49,DET,2018-11-21,5,3,3649.0,DET,3.0,2.0,Go-Ahead Goal
112,2,PIT,PP,Evgeni Malkin , Kris Letang,Phil Kessel,9,00:26:09,00:06:09,BOS,2018-11-23,1,1,1569.0,BOS,0.0,1.0,Go-Ahead Goal
113,2,BOS,,Jake Debrusk , David Krejci,Kevan Miller,9,00:33:40,00:13:40,BOS,2018-11-23,2,1,2020.0,BOS,1.0,1.0,Tie
114,1,BOS,,Joakim Nordstrom , Torey Krug,David Pastrnak,4,00:01:57,00:01:57,BOS,2018-11-23,3,2,117.0,BOS,2.0,1.0,Go-Ahead Goal
115,1,BOS,,David Backes ,,,1,00:13:01,00:13:01,MTL,2018-11-24,1,1,781.0,BOS,0.0,1.0,Go-Ahead Goal
116,1,BOS,,Jake Debrusk , Torey Krug,David Krejci,10,00:14:42,00:14:42,MTL,2018-11-24,2,2,882.0,BOS,0.0,2.0,Insurance Goal
117,3,MTL,,Jonathan Drouin , Karl Alzner,Victor Mete,9,00:46:46,00:06:46,MTL,2018-11-24,3,1,2806.0,BOS,1.0,2.0,Go-Ahead Goal
