,Period,Team,Type,Scorer,Assist1,Assist2,Season Goal Number,Time in Game,Time in Period,Home Team,Date,Game Goal Number,Team Goal Number,Seconds,Winner,HomeGoal,AwayGoal,Impact
523,OT1,SJS,,Kevin Labanc , Logan Couture,Erik Karlsson,1,01:02:54,00:02:54,LAK,2018-10-05,5,3,3774.0,SJS,2.0,3.0,Go-Ahead Goal
524,2,NYI,PP,Anders Lee , Josh Bailey,Mathew Barzal,2,00:34:34,00:14:34,NYI,2018-10-08,1,1,2074.0,NYI,1.0,0.0,Go-Ahead Goal
525,3,NYI,,Scott Mayfield , Casey Cizikas,,1,00:45:16,00:05:16,NYI,2018-10-08,2,2,2716.0,NYI,2.0,0.0,Insurance Goal
526,3,NYI,,Matt Martin , Valtteri Filppula,Leo Komarov,1,00:53:02,00:13:02,NYI,2018-10-08,3,3,3182.0,NYI,3.0,0.0,Insurance Goal
527,3,NYI,SHEN,Casey Cizikas , Johnny Boychuk,,1,00:59:04,00:19:04,NYI,2018-10-08,4,4,3544.0,NYI,4.0,0.0,Insurance Goal
528,1,SJS,,Logan Couture ,,,1,00:03:17,00:03:17,PHI,2018-10-09,1,1,197.0,SJS,0.0,1.0,Go-Ahead Goal
529,1,SJS,,Joe Pavelski , Kevin Labanc,Marc-Edouard Vlasic,1,00:03:28,00:03:28,PHI,2018-10-09,2,2,208.0,SJS,0.0,2.0,Insurance Goal
530,1,SJS,,Joe Pavelski , Kevin Labanc,,2,00:12:21,00:12:21,PHI,2018-10-09,3,3,741.0,SJS,0.0,3.0,Insurance Goal
531,1,SJS,PP,Evander Kane , Justin Braun,Joonas Donskoi,3,00:16:42,00:16:42,PHI,2018-10-09,4,4,1002.0,SJS,0.0,4.0,Insurance Goal
532,2,PHI,PP,Shayne Gostisbehere , Claude Giroux,Wayne Simmonds,1,00:24:56,00:04:56,PHI,2018-10-09,5,1,1496.0,SJS,1.0,4.0,Lead Shrink
533,2,SJS,,Evander Kane , Marc-Edouard Vlasic,Kevin Labanc,4,00:34:46,00:14:46,PHI,2018-10-09,6,5,2086.0,SJS,1.0,5.0,Insurance Goal
534,3,SJS,PP,Tomas Hertl , Erik Karlsson,Brent Burns,2,00:43:27,00:03:27,PHI,2018-10-09,7,6,2607.0,SJS,1.0,6.0,Insurance Goal
535,3,SJS,,Timo Meier , Kevin Labanc,Erik Karlsson,2,00:55:21,00:15:21,PHI,2018-10-09,8,7,3321.0,SJS,1.0,7.0,Insurance Goal
536,3,SJS,SH,Barclay Goodrow , Marcus Sorensen,,1,00:58:01,00:18:01,PHI,2018-10-09,9,8,3481.0,SJS,1.0,8.0,Insurance Goal
537,3,PHI,PP,Wayne Simmonds , Jakub Voracek,Claude Giroux,3,00:58:29,00:18:29,PHI,2018-10-09,10,2,3509.0,SJS,2.0,8.0,Lead Shrink
538,1,SJS,SH,Marcus Sorensen , Timo Meier,Brent Burns,1,00:04:31,00:04:31,NYR,2018-10-11,1,1,271.0,NYR,0.0,1.0,Go-Ahead Goal
539,1,NYR,,Brett Howden , Mats Zuccarello,Chris Kreider,2,00:13:52,00:13:52,NYR,2018-10-11,2,1,832.0,NYR,1.0,1.0,Tie
540,2,SJS,,Joonas Donskoi , Antti Suomela,Brent Burns,1,00:24:59,00:04:59,NYR,2018-10-11,3,2,1499.0,NYR,1.0,2.0,Go-Ahead Goal
541,3,NYR,,Brendan Smith , Pavel Buchnevich,Jesper Fast,1,00:57:21,00:17:21,NYR,2018-10-11,4,2,3441.0,NYR,2.0,2.0,Tie
542,1,NYR,,Brady Skjei ,,,1,00:00:37,00:00:37,NYR,2018-10-11,5,3,37.0,NYR,3.0,2.0,Go-Ahead Goal
543,2,SJS,,Joe Pavelski , Brent Burns,Evander Kane,3,00:23:51,00:03:51,NJD,2018-10-14,1,1,1431.0,NJD,0.0,1.0,Go-Ahead Goal
544,2,NJD,PP,Kyle Palmieri , Taylor Hall,Sami Vatanen,5,00:27:06,00:07:06,NJD,2018-10-14,2,1,1626.0,NJD,1.0,1.0,Tie
545,2,SJS,,Timo Meier , Logan Couture,Tomas Hertl,3,00:35:35,00:15:35,NJD,2018-10-14,3,2,2135.0,NJD,1.0,2.0,Go-Ahead Goal
546,3,NJD,,Kyle Palmieri , Andy Greene,Damon Severson,6,00:40:37,00:00:37,NJD,2018-10-14,4,2,2437.0,NJD,2.0,2.0,Tie
547,3,NJD,,Jean-Sebastien Dea , Mirco Mueller,Taylor Hall,2,00:43:25,00:03:25,NJD,2018-10-14,5,3,2605.0,NJD,3.0,2.0,Go-Ahead Goal
548,1,SJS,PP,Joonas Donskoi , Erik Karlsson,Evander Kane,2,00:03:35,00:03:35,SJS,2018-10-18,1,1,215.0,SJS,1.0,0.0,Go-Ahead Goal
549,1,SJS,PP,Logan Couture , Brent Burns,,2,00:04:02,00:04:02,SJS,2018-10-18,2,2,242.0,SJS,2.0,0.0,Insurance Goal
550,2,BUF,,Jake McCabe , Jeff Skinner,Rasmus Dahlin,1,00:21:35,00:01:35,SJS,2018-10-18,3,1,1295.0,SJS,2.0,1.0,Go-Ahead Goal
551,3,SJS,,Logan Couture , Evander Kane,Justin Braun,3,00:44:54,00:04:54,SJS,2018-10-18,4,3,2694.0,SJS,3.0,1.0,Insurance Goal
552,3,SJS,PP,Joe Pavelski , Kevin Labanc,Brent Burns,4,00:51:49,00:11:49,SJS,2018-10-18,5,4,3109.0,SJS,4.0,1.0,Insurance Goal
553,3,SJS,EN,Logan Couture , Tomas Hertl,Timo Meier,4,00:58:13,00:18:13,SJS,2018-10-18,6,5,3493.0,SJS,5.0,1.0,Insurance Goal
554,1,SJS,,Timo Meier , Logan Couture,Tomas Hertl,4,00:07:59,00:07:59,SJS,2018-10-20,1,1,479.0,SJS,1.0,0.0,Go-Ahead Goal
555,1,NYI,,Brock Nelson , Josh Bailey,Anders Lee,2,00:19:27,00:19:27,SJS,2018-10-20,2,1,1167.0,SJS,1.0,1.0,Tie
556,2,SJS,,Joonas Donskoi , Antti Suomela,,3,00:24:59,00:04:59,SJS,2018-10-20,3,2,1499.0,SJS,2.0,1.0,Go-Ahead Goal
557,2,SJS,,Brent Burns , Tomas Hertl,Joonas Donskoi,1,00:33:50,00:13:50,SJS,2018-10-20,4,3,2030.0,SJS,3.0,1.0,Insurance Goal
558,3,SJS,,Logan Couture , Tomas Hertl,Joakim Ryan,5,00:44:32,00:04:32,SJS,2018-10-20,5,4,2672.0,SJS,4.0,1.0,Insurance Goal
559,1,SJS,PP,Timo Meier , Joonas Donskoi,Brent Burns,5,00:06:58,00:06:58,NSH,2018-10-23,1,1,418.0,SJS,0.0,1.0,Go-Ahead Goal
560,1,NSH,,Viktor Arvidsson ,,,5,00:11:14,00:11:14,NSH,2018-10-23,2,1,674.0,SJS,1.0,1.0,Tie
561,2,NSH,,Filip Forsberg , Ryan Johansen,Ryan Ellis,6,00:20:21,00:00:21,NSH,2018-10-23,3,2,1221.0,SJS,2.0,1.0,Go-Ahead Goal
562,2,SJS,,Tomas Hertl , Logan Couture,Timo Meier,3,00:27:51,00:07:51,NSH,2018-10-23,4,2,1671.0,SJS,2.0,2.0,Tie
563,2,NSH,,Viktor Arvidsson , Filip Forsberg,Ryan Johansen,6,00:30:45,00:10:45,NSH,2018-10-23,5,3,1845.0,SJS,3.0,2.0,Go-Ahead Goal
564,2,NSH,,Craig Smith , Viktor Arvidsson,,4,00:39:45,00:19:45,NSH,2018-10-23,6,4,2385.0,SJS,4.0,2.0,Insurance Goal
565,3,SJS,SH,Brenden Dillon , Tomas Hertl,Brent Burns,1,00:51:40,00:11:40,NSH,2018-10-23,7,3,3100.0,SJS,4.0,3.0,Go-Ahead Goal
566,3,SJS,,Joe Pavelski , Logan Couture,Evander Kane,5,00:52:16,00:12:16,NSH,2018-10-23,8,4,3136.0,SJS,4.0,4.0,Tie
567,3,SJS,PP,Brent Burns , Erik Karlsson,Evander Kane,2,00:57:08,00:17:08,NSH,2018-10-23,9,5,3428.0,SJS,4.0,5.0,Go-Ahead Goal
568,1,SJS,,Antti Suomela , Evander Kane,Brent Burns,1,00:06:37,00:06:37,CAR,2018-10-26,1,1,397.0,Shootout,0.0,1.0,Go-Ahead Goal
569,1,SJS,PP,Timo Meier , Brent Burns,Erik Karlsson,6,00:08:16,00:08:16,CAR,2018-10-26,2,2,496.0,Shootout,0.0,2.0,Insurance Goal
570,2,CAR,,Dougie Hamilton , Micheal Ferland,Teuvo Teravainen,1,00:21:12,00:01:12,CAR,2018-10-26,3,1,1272.0,Shootout,1.0,2.0,Go-Ahead Goal
571,2,SJS,PP,Tomas Hertl , Logan Couture,Kevin Labanc,4,00:25:47,00:05:47,CAR,2018-10-26,4,3,1547.0,Shootout,1.0,3.0,Insurance Goal
572,2,CAR,,Brock McGinn ,,,1,00:30:07,00:10:07,CAR,2018-10-26,5,2,1807.0,Shootout,2.0,3.0,Go-Ahead Goal
573,2,CAR,,Teuvo Teravainen , Sebastian Aho,,2,00:35:14,00:15:14,CAR,2018-10-26,6,3,2114.0,Shootout,3.0,3.0,Tie
